,Date,Users,year,month,day,day of week,weekend,season
552,2021-07-06,42,2021,7,6,1,0,summer
553,2021-07-07,39,2021,7,7,2,0,summer
554,2021-07-08,31,2021,7,8,3,0,summer
555,2021-07-09,21,2021,7,9,4,0,summer
556,2021-07-10,16,2021,7,10,5,1,summer
557,2021-07-11,21,2021,7,11,6,1,summer
558,2021-07-12,26,2021,7,12,0,0,summer
559,2021-07-13,33,2021,7,13,1,0,summer
560,2021-07-14,25,2021,7,14,2,0,summer
561,2021-07-15,30,2021,7,15,3,0,summer
562,2021-07-16,26,2021,7,16,4,0,summer
563,2021-07-17,24,2021,7,17,5,1,summer
564,2021-07-18,23,2021,7,18,6,1,summer
565,2021-07-19,24,2021,7,19,0,0,summer
566,2021-07-20,38,2021,7,20,1,0,summer
567,2021-07-21,38,2021,7,21,2,0,summer
568,2021-07-22,36,2021,7,22,3,0,summer
569,2021-07-23,36,2021,7,23,4,0,summer
570,2021-07-24,25,2021,7,24,5,1,summer
571,2021-07-25,27,2021,7,25,6,1,summer
572,2021-07-26,31,2021,7,26,0,0,summer
573,2021-07-27,41,2021,7,27,1,0,summer
574,2021-07-28,34,2021,7,28,2,0,summer
575,2021-07-29,41,2021,7,29,3,0,summer
576,2021-07-30,27,2021,7,30,4,0,summer
577,2021-07-31,22,2021,7,31,5,1,summer
578,2021-08-01,29,2021,8,1,6,1,summer
579,2021-08-02,44,2021,8,2,0,0,summer
580,2021-08-03,31,2021,8,3,1,0,summer
581,2021-08-04,47,2021,8,4,2,0,summer
582,2021-08-05,39,2021,8,5,3,0,summer
583,2021-08-06,39,2021,8,6,4,0,summer
584,2021-08-07,23,2021,8,7,5,1,summer
585,2021-08-08,24,2021,8,8,6,1,summer
586,2021-08-09,41,2021,8,9,0,0,summer
587,2021-08-10,44,2021,8,10,1,0,summer
588,2021-08-11,33,2021,8,11,2,0,summer
589,2021-08-12,33,2021,8,12,3,0,summer
590,2021-08-13,20,2021,8,13,4,0,summer
591,2021-08-14,18,2021,8,14,5,1,summer
592,2021-08-15,23,2021,8,15,6,1,summer
593,2021-08-16,29,2021,8,16,0,0,summer
594,2021-08-17,39,2021,8,17,1,0,summer
595,2021-08-18,36,2021,8,18,2,0,summer
596,2021-08-19,24,2021,8,19,3,0,summer
597,2021-08-20,35,2021,8,20,4,0,summer
598,2021-08-21,29,2021,8,21,5,1,summer
599,2021-08-22,19,2021,8,22,6,1,summer
600,2021-08-23,38,2021,8,23,0,0,summer
601,2021-08-24,53,2021,8,24,1,0,summer
602,2021-08-25,37,2021,8,25,2,0,summer
603,2021-08-26,56,2021,8,26,3,0,summer
604,2021-08-27,43,2021,8,27,4,0,summer
605,2021-08-28,24,2021,8,28,5,1,summer
606,2021-08-29,34,2021,8,29,6,1,summer
607,2021-08-30,44,2021,8,30,0,0,summer
608,2021-08-31,50,2021,8,31,1,0,summer
609,2021-09-01,57,2021,9,1,2,0,summer
610,2021-09-02,42,2021,9,2,3,0,summer
611,2021-09-03,37,2021,9,3,4,0,summer
612,2021-09-04,23,2021,9,4,5,1,summer
613,2021-09-05,31,2021,9,5,6,1,summer
614,2021-09-06,53,2021,9,6,0,0,summer
615,2021-09-07,59,2021,9,7,1,0,summer
616,2021-09-08,66,2021,9,8,2,0,summer
617,2021-09-09,53,2021,9,9,3,0,summer
618,2021-09-10,37,2021,9,10,4,0,summer
619,2021-09-11,30,2021,9,11,5,1,summer
620,2021-09-12,36,2021,9,12,6,1,summer
621,2021-09-13,46,2021,9,13,0,0,summer
622,2021-09-14,46,2021,9,14,1,0,summer
623,2021-09-15,64,2021,9,15,2,0,summer
624,2021-09-16,43,2021,9,16,3,0,summer
625,2021-09-17,39,2021,9,17,4,0,summer
626,2021-09-18,33,2021,9,18,5,1,summer
627,2021-09-19,26,2021,9,19,6,1,summer
628,2021-09-20,52,2021,9,20,0,0,summer
629,2021-09-21,50,2021,9,21,1,0,summer
630,2021-09-22,41,2021,9,22,2,0,summer
631,2021-09-23,57,2021,9,23,3,0,autumn
632,2021-09-24,27,2021,9,24,4,0,autumn
633,2021-09-25,15,2021,9,25,5,1,autumn
634,2021-09-26,36,2021,9,26,6,1,autumn
635,2021-09-27,47,2021,9,27,0,0,autumn
636,2021-09-28,61,2021,9,28,1,0,autumn
637,2021-09-29,47,2021,9,29,2,0,autumn
638,2021-09-30,45,2021,9,30,3,0,autumn
639,2021-10-01,29,2021,10,1,4,0,autumn
640,2021-10-02,17,2021,10,2,5,1,autumn
641,2021-10-03,32,2021,10,3,6,1,autumn
642,2021-10-04,61,2021,10,4,0,0,autumn
643,2021-10-05,45,2021,10,5,1,0,autumn
644,2021-10-06,60,2021,10,6,2,0,autumn
645,2021-10-07,38,2021,10,7,3,0,autumn
646,2021-10-08,31,2021,10,8,4,0,autumn
647,2021-10-09,19,2021,10,9,5,1,autumn
648,2021-10-10,23,2021,10,10,6,1,autumn
649,2021-10-11,52,2021,10,11,0,0,autumn
650,2021-10-12,41,2021,10,12,1,0,autumn
651,2021-10-13,51,2021,10,13,2,0,autumn
652,2021-10-14,36,2021,10,14,3,0,autumn
653,2021-10-15,31,2021,10,15,4,0,autumn
654,2021-10-16,29,2021,10,16,5,1,autumn
655,2021-10-17,33,2021,10,17,6,1,autumn
656,2021-10-18,41,2021,10,18,0,0,autumn
657,2021-10-19,59,2021,10,19,1,0,autumn
658,2021-10-20,45,2021,10,20,2,0,autumn
659,2021-10-21,43,2021,10,21,3,0,autumn
660,2021-10-22,27,2021,10,22,4,0,autumn
661,2021-10-23,25,2021,10,23,5,1,autumn
662,2021-10-24,17,2021,10,24,6,1,autumn
663,2021-10-25,56,2021,10,25,0,0,autumn
664,2021-10-26,36,2021,10,26,1,0,autumn
665,2021-10-27,44,2021,10,27,2,0,autumn
666,2021-10-28,51,2021,10,28,3,0,autumn
667,2021-10-29,26,2021,10,29,4,0,autumn
668,2021-10-30,18,2021,10,30,5,1,autumn
669,2021-10-31,28,2021,10,31,6,1,autumn
670,2021-11-01,20,2021,11,1,0,0,autumn
671,2021-11-02,49,2021,11,2,1,0,autumn
672,2021-11-03,51,2021,11,3,2,0,autumn
673,2021-11-04,45,2021,11,4,3,0,autumn
674,2021-11-05,34,2021,11,5,4,0,autumn
675,2021-11-06,30,2021,11,6,5,1,autumn
676,2021-11-07,33,2021,11,7,6,1,autumn
677,2021-11-08,34,2021,11,8,0,0,autumn
678,2021-11-09,38,2021,11,9,1,0,autumn
679,2021-11-10,60,2021,11,10,2,0,autumn
680,2021-11-11,51,2021,11,11,3,0,autumn
681,2021-11-12,45,2021,11,12,4,0,autumn
682,2021-11-13,46,2021,11,13,5,1,autumn
683,2021-11-14,58,2021,11,14,6,1,autumn
684,2021-11-15,35,2021,11,15,0,0,autumn
685,2021-11-16,58,2021,11,16,1,0,autumn
686,2021-11-17,47,2021,11,17,2,0,autumn
687,2021-11-18,65,2021,11,18,3,0,autumn
688,2021-11-19,42,2021,11,19,4,0,autumn
689,2021-11-20,31,2021,11,20,5,1,autumn
690,2021-11-21,35,2021,11,21,6,1,autumn
691,2021-11-22,45,2021,11,22,0,0,autumn
692,2021-11-23,50,2021,11,23,1,0,autumn
693,2021-11-24,42,2021,11,24,2,0,autumn
694,2021-11-25,27,2021,11,25,3,0,autumn
695,2021-11-26,30,2021,11,26,4,0,autumn
696,2021-11-27,17,2021,11,27,5,1,autumn
697,2021-11-28,23,2021,11,28,6,1,autumn
698,2021-11-29,31,2021,11,29,0,0,autumn
699,2021-11-30,48,2021,11,30,1,0,autumn
700,2021-12-01,44,2021,12,1,2,0,autumn
701,2021-12-02,22,2021,12,2,3,0,autumn
702,2021-12-03,38,2021,12,3,4,0,autumn
703,2021-12-04,36,2021,12,4,5,1,autumn
704,2021-12-05,19,2021,12,5,6,1,autumn
705,2021-12-06,21,2021,12,6,0,0,autumn
706,2021-12-07,50,2021,12,7,1,0,autumn
707,2021-12-08,36,2021,12,8,2,0,autumn
708,2021-12-09,109,2021,12,9,3,0,autumn
709,2021-12-10,49,2021,12,10,4,0,autumn
710,2021-12-11,24,2021,12,11,5,1,autumn
711,2021-12-12,37,2021,12,12,6,1,autumn
712,2021-12-13,54,2021,12,13,0,0,autumn
713,2021-12-14,49,2021,12,14,1,0,autumn
714,2021-12-15,41,2021,12,15,2,0,autumn
715,2021-12-16,35,2021,12,16,3,0,autumn
716,2021-12-17,38,2021,12,17,4,0,autumn
717,2021-12-18,29,2021,12,18,5,1,autumn
718,2021-12-19,21,2021,12,19,6,1,autumn
719,2021-12-20,41,2021,12,20,0,0,autumn
720,2021-12-21,35,2021,12,21,1,0,winter
721,2021-12-22,44,2021,12,22,2,0,winter
722,2021-12-23,27,2021,12,23,3,0,winter
723,2021-12-24,28,2021,12,24,4,0,winter
724,2021-12-25,26,2021,12,25,5,1,winter
725,2021-12-26,33,2021,12,26,6,1,winter
726,2021-12-27,47,2021,12,27,0,0,winter
727,2021-12-28,36,2021,12,28,1,0,winter
728,2021-12-29,46,2021,12,29,2,0,winter
729,2021-12-30,48,2021,12,30,3,0,winter
730,2021-12-31,23,2021,12,31,4,0,winter
731,2022-01-01,17,2022,1,1,5,1,winter
732,2022-01-02,30,2022,1,2,6,1,winter
733,2022-01-03,52,2022,1,3,0,0,winter
734,2022-01-04,49,2022,1,4,1,0,winter
735,2022-01-05,44,2022,1,5,2,0,winter
736,2022-01-06,41,2022,1,6,3,0,winter
737,2022-01-07,36,2022,1,7,4,0,winter
738,2022-01-08,29,2022,1,8,5,1,winter
739,2022-01-09,37,2022,1,9,6,1,winter
740,2022-01-10,57,2022,1,10,0,0,winter
741,2022-01-11,58,2022,1,11,1,0,winter
742,2022-01-12,46,2022,1,12,2,0,winter
743,2022-01-13,52,2022,1,13,3,0,winter
744,2022-01-14,38,2022,1,14,4,0,winter
745,2022-01-15,42,2022,1,15,5,1,winter
746,2022-01-16,26,2022,1,16,6,1,winter
747,2022-01-17,66,2022,1,17,0,0,winter
748,2022-01-18,56,2022,1,18,1,0,winter
749,2022-01-19,53,2022,1,19,2,0,winter
750,2022-01-20,50,2022,1,20,3,0,winter
751,2022-01-21,54,2022,1,21,4,0,winter
752,2022-01-22,41,2022,1,22,5,1,winter
753,2022-01-23,55,2022,1,23,6,1,winter
754,2022-01-24,57,2022,1,24,0,0,winter
755,2022-01-25,62,2022,1,25,1,0,winter
756,2022-01-26,64,2022,1,26,2,0,winter
757,2022-01-27,69,2022,1,27,3,0,winter
758,2022-01-28,55,2022,1,28,4,0,winter
759,2022-01-29,38,2022,1,29,5,1,winter
760,2022-01-30,39,2022,1,30,6,1,winter
761,2022-01-31,72,2022,1,31,0,0,winter
762,2022-02-01,75,2022,2,1,1,0,winter
763,2022-02-02,66,2022,2,2,2,0,winter
764,2022-02-03,63,2022,2,3,3,0,winter
765,2022-02-04,42,2022,2,4,4,0,winter
766,2022-02-05,42,2022,2,5,5,1,winter
767,2022-02-06,42,2022,2,6,6,1,winter
768,2022-02-07,63,2022,2,7,0,0,winter
769,2022-02-08,49,2022,2,8,1,0,winter
770,2022-02-09,63,2022,2,9,2,0,winter
771,2022-02-10,53,2022,2,10,3,0,winter
772,2022-02-11,46,2022,2,11,4,0,winter
773,2022-02-12,49,2022,2,12,5,1,winter
774,2022-02-13,39,2022,2,13,6,1,winter
775,2022-02-14,48,2022,2,14,0,0,winter
776,2022-02-15,63,2022,2,15,1,0,winter
777,2022-02-16,37,2022,2,16,2,0,winter
778,2022-02-17,60,2022,2,17,3,0,winter
779,2022-02-18,47,2022,2,18,4,0,winter
780,2022-02-19,29,2022,2,19,5,1,winter
781,2022-02-20,38,2022,2,20,6,1,winter
782,2022-02-21,52,2022,2,21,0,0,winter
783,2022-02-22,57,2022,2,22,1,0,winter
784,2022-02-23,58,2022,2,23,2,0,winter
785,2022-02-24,54,2022,2,24,3,0,winter
786,2022-02-25,38,2022,2,25,4,0,winter
787,2022-02-26,27,2022,2,26,5,1,winter
788,2022-02-27,26,2022,2,27,6,1,winter
789,2022-02-28,59,2022,2,28,0,0,winter
790,2022-03-01,36,2022,3,1,1,0,winter
791,2022-03-02,45,2022,3,2,2,0,winter
792,2022-03-03,52,2022,3,3,3,0,winter
793,2022-03-04,47,2022,3,4,4,0,winter
794,2022-03-05,23,2022,3,5,5,1,winter
795,2022-03-06,30,2022,3,6,6,1,winter
796,2022-03-07,62,2022,3,7,0,0,winter
797,2022-03-08,74,2022,3,8,1,0,winter
798,2022-03-09,66,2022,3,9,2,0,winter
799,2022-03-10,38,2022,3,10,3,0,winter
800,2022-03-11,28,2022,3,11,4,0,winter
801,2022-03-12,32,2022,3,12,5,1,winter
802,2022-03-13,37,2022,3,13,6,1,winter
803,2022-03-14,66,2022,3,14,0,0,winter
804,2022-03-15,56,2022,3,15,1,0,winter
805,2022-03-16,78,2022,3,16,2,0,winter
806,2022-03-17,44,2022,3,17,3,0,winter
807,2022-03-18,41,2022,3,18,4,0,winter
808,2022-03-19,45,2022,3,19,5,1,winter
809,2022-03-20,40,2022,3,20,6,1,winter
810,2022-03-21,83,2022,3,21,0,0,spring
811,2022-03-22,60,2022,3,22,1,0,spring
812,2022-03-23,59,2022,3,23,2,0,spring
813,2022-03-24,73,2022,3,24,3,0,spring
814,2022-03-25,56,2022,3,25,4,0,spring
815,2022-03-26,34,2022,3,26,5,1,spring
816,2022-03-27,31,2022,3,27,6,1,spring
817,2022-03-28,66,2022,3,28,0,0,spring
818,2022-03-29,66,2022,3,29,1,0,spring
819,2022-03-30,71,2022,3,30,2,0,spring
820,2022-03-31,53,2022,3,31,3,0,spring
821,2022-04-01,48,2022,4,1,4,0,spring
822,2022-04-02,40,2022,4,2,5,1,spring
823,2022-04-03,51,2022,4,3,6,1,spring
824,2022-04-04,86,2022,4,4,0,0,spring
825,2022-04-05,56,2022,4,5,1,0,spring
826,2022-04-06,53,2022,4,6,2,0,spring
827,2022-04-07,48,2022,4,7,3,0,spring
828,2022-04-08,55,2022,4,8,4,0,spring
829,2022-04-09,37,2022,4,9,5,1,spring
830,2022-04-10,32,2022,4,10,6,1,spring
831,2022-04-11,61,2022,4,11,0,0,spring
832,2022-04-12,46,2022,4,12,1,0,spring
833,2022-04-13,37,2022,4,13,2,0,spring
834,2022-04-14,38,2022,4,14,3,0,spring
835,2022-04-15,30,2022,4,15,4,0,spring
836,2022-04-16,33,2022,4,16,5,1,spring
837,2022-04-17,52,2022,4,17,6,1,spring
838,2022-04-18,56,2022,4,18,0,0,spring
839,2022-04-19,66,2022,4,19,1,0,spring
840,2022-04-20,59,2022,4,20,2,0,spring
841,2022-04-21,51,2022,4,21,3,0,spring
842,2022-04-22,48,2022,4,22,4,0,spring
843,2022-04-23,42,2022,4,23,5,1,spring
844,2022-04-24,36,2022,4,24,6,1,spring
845,2022-04-25,65,2022,4,25,0,0,spring
846,2022-04-26,63,2022,4,26,1,0,spring
847,2022-04-27,64,2022,4,27,2,0,spring
848,2022-04-28,46,2022,4,28,3,0,spring
849,2022-04-29,29,2022,4,29,4,0,spring
850,2022-04-30,21,2022,4,30,5,1,spring
