,Date,Users,year,month,day,day of week,weekend
629,2021-09-21,50,2021,9,21,1,False
630,2021-09-22,41,2021,9,22,2,False
631,2021-09-23,57,2021,9,23,3,False
632,2021-09-24,27,2021,9,24,4,False
633,2021-09-25,15,2021,9,25,5,True
634,2021-09-26,36,2021,9,26,6,True
635,2021-09-27,47,2021,9,27,0,False
636,2021-09-28,61,2021,9,28,1,False
637,2021-09-29,47,2021,9,29,2,False
638,2021-09-30,45,2021,9,30,3,False
639,2021-10-01,29,2021,10,1,4,False
640,2021-10-02,17,2021,10,2,5,True
641,2021-10-03,32,2021,10,3,6,True
642,2021-10-04,61,2021,10,4,0,False
643,2021-10-05,45,2021,10,5,1,False
644,2021-10-06,60,2021,10,6,2,False
645,2021-10-07,38,2021,10,7,3,False
646,2021-10-08,31,2021,10,8,4,False
647,2021-10-09,19,2021,10,9,5,True
648,2021-10-10,23,2021,10,10,6,True
649,2021-10-11,52,2021,10,11,0,False
650,2021-10-12,41,2021,10,12,1,False
651,2021-10-13,51,2021,10,13,2,False
652,2021-10-14,36,2021,10,14,3,False
653,2021-10-15,31,2021,10,15,4,False
654,2021-10-16,29,2021,10,16,5,True
655,2021-10-17,33,2021,10,17,6,True
656,2021-10-18,41,2021,10,18,0,False
657,2021-10-19,59,2021,10,19,1,False
658,2021-10-20,45,2021,10,20,2,False
659,2021-10-21,43,2021,10,21,3,False
660,2021-10-22,27,2021,10,22,4,False
661,2021-10-23,25,2021,10,23,5,True
662,2021-10-24,17,2021,10,24,6,True
663,2021-10-25,56,2021,10,25,0,False
664,2021-10-26,36,2021,10,26,1,False
665,2021-10-27,44,2021,10,27,2,False
666,2021-10-28,51,2021,10,28,3,False
667,2021-10-29,26,2021,10,29,4,False
668,2021-10-30,18,2021,10,30,5,True
669,2021-10-31,28,2021,10,31,6,True
670,2021-11-01,20,2021,11,1,0,False
671,2021-11-02,49,2021,11,2,1,False
672,2021-11-03,51,2021,11,3,2,False
673,2021-11-04,45,2021,11,4,3,False
674,2021-11-05,34,2021,11,5,4,False
675,2021-11-06,30,2021,11,6,5,True
676,2021-11-07,33,2021,11,7,6,True
677,2021-11-08,34,2021,11,8,0,False
678,2021-11-09,38,2021,11,9,1,False
679,2021-11-10,60,2021,11,10,2,False
680,2021-11-11,51,2021,11,11,3,False
681,2021-11-12,45,2021,11,12,4,False
682,2021-11-13,46,2021,11,13,5,True
683,2021-11-14,58,2021,11,14,6,True
684,2021-11-15,35,2021,11,15,0,False
685,2021-11-16,58,2021,11,16,1,False
686,2021-11-17,47,2021,11,17,2,False
687,2021-11-18,65,2021,11,18,3,False
688,2021-11-19,42,2021,11,19,4,False
689,2021-11-20,31,2021,11,20,5,True
690,2021-11-21,35,2021,11,21,6,True
691,2021-11-22,45,2021,11,22,0,False
692,2021-11-23,50,2021,11,23,1,False
693,2021-11-24,42,2021,11,24,2,False
694,2021-11-25,27,2021,11,25,3,False
695,2021-11-26,30,2021,11,26,4,False
696,2021-11-27,17,2021,11,27,5,True
697,2021-11-28,23,2021,11,28,6,True
698,2021-11-29,31,2021,11,29,0,False
699,2021-11-30,48,2021,11,30,1,False
700,2021-12-01,44,2021,12,1,2,False
701,2021-12-02,22,2021,12,2,3,False
702,2021-12-03,38,2021,12,3,4,False
703,2021-12-04,36,2021,12,4,5,True
704,2021-12-05,19,2021,12,5,6,True
705,2021-12-06,21,2021,12,6,0,False
706,2021-12-07,50,2021,12,7,1,False
707,2021-12-08,36,2021,12,8,2,False
708,2021-12-09,109,2021,12,9,3,False
709,2021-12-10,49,2021,12,10,4,False
710,2021-12-11,24,2021,12,11,5,True
711,2021-12-12,37,2021,12,12,6,True
712,2021-12-13,54,2021,12,13,0,False
713,2021-12-14,49,2021,12,14,1,False
714,2021-12-15,41,2021,12,15,2,False
715,2021-12-16,35,2021,12,16,3,False
716,2021-12-17,38,2021,12,17,4,False
717,2021-12-18,29,2021,12,18,5,True
718,2021-12-19,21,2021,12,19,6,True
719,2021-12-20,41,2021,12,20,0,False
720,2021-12-21,35,2021,12,21,1,False
721,2021-12-22,44,2021,12,22,2,False
722,2021-12-23,27,2021,12,23,3,False
723,2021-12-24,28,2021,12,24,4,False
724,2021-12-25,26,2021,12,25,5,True
725,2021-12-26,33,2021,12,26,6,True
726,2021-12-27,47,2021,12,27,0,False
727,2021-12-28,36,2021,12,28,1,False
728,2021-12-29,46,2021,12,29,2,False
729,2021-12-30,48,2021,12,30,3,False
730,2021-12-31,23,2021,12,31,4,False
731,2022-01-01,17,2022,1,1,5,True
732,2022-01-02,30,2022,1,2,6,True
733,2022-01-03,52,2022,1,3,0,False
734,2022-01-04,49,2022,1,4,1,False
735,2022-01-05,44,2022,1,5,2,False
736,2022-01-06,41,2022,1,6,3,False
737,2022-01-07,36,2022,1,7,4,False
738,2022-01-08,29,2022,1,8,5,True
739,2022-01-09,37,2022,1,9,6,True
740,2022-01-10,57,2022,1,10,0,False
741,2022-01-11,58,2022,1,11,1,False
742,2022-01-12,46,2022,1,12,2,False
743,2022-01-13,52,2022,1,13,3,False
744,2022-01-14,38,2022,1,14,4,False
745,2022-01-15,42,2022,1,15,5,True
746,2022-01-16,26,2022,1,16,6,True
747,2022-01-17,66,2022,1,17,0,False
748,2022-01-18,56,2022,1,18,1,False
749,2022-01-19,53,2022,1,19,2,False
750,2022-01-20,50,2022,1,20,3,False
751,2022-01-21,54,2022,1,21,4,False
752,2022-01-22,41,2022,1,22,5,True
753,2022-01-23,55,2022,1,23,6,True
754,2022-01-24,57,2022,1,24,0,False
755,2022-01-25,62,2022,1,25,1,False
756,2022-01-26,64,2022,1,26,2,False
757,2022-01-27,69,2022,1,27,3,False
758,2022-01-28,55,2022,1,28,4,False
759,2022-01-29,38,2022,1,29,5,True
760,2022-01-30,39,2022,1,30,6,True
761,2022-01-31,72,2022,1,31,0,False
762,2022-02-01,75,2022,2,1,1,False
763,2022-02-02,66,2022,2,2,2,False
764,2022-02-03,63,2022,2,3,3,False
765,2022-02-04,42,2022,2,4,4,False
766,2022-02-05,42,2022,2,5,5,True
767,2022-02-06,42,2022,2,6,6,True
768,2022-02-07,63,2022,2,7,0,False
769,2022-02-08,49,2022,2,8,1,False
770,2022-02-09,63,2022,2,9,2,False
771,2022-02-10,53,2022,2,10,3,False
772,2022-02-11,46,2022,2,11,4,False
773,2022-02-12,49,2022,2,12,5,True
774,2022-02-13,39,2022,2,13,6,True
775,2022-02-14,48,2022,2,14,0,False
776,2022-02-15,63,2022,2,15,1,False
777,2022-02-16,37,2022,2,16,2,False
778,2022-02-17,60,2022,2,17,3,False
779,2022-02-18,47,2022,2,18,4,False
780,2022-02-19,29,2022,2,19,5,True
781,2022-02-20,38,2022,2,20,6,True
782,2022-02-21,52,2022,2,21,0,False
783,2022-02-22,57,2022,2,22,1,False
784,2022-02-23,58,2022,2,23,2,False
785,2022-02-24,54,2022,2,24,3,False
786,2022-02-25,38,2022,2,25,4,False
787,2022-02-26,27,2022,2,26,5,True
788,2022-02-27,26,2022,2,27,6,True
789,2022-02-28,59,2022,2,28,0,False
790,2022-03-01,36,2022,3,1,1,False
791,2022-03-02,45,2022,3,2,2,False
792,2022-03-03,52,2022,3,3,3,False
793,2022-03-04,47,2022,3,4,4,False
794,2022-03-05,23,2022,3,5,5,True
795,2022-03-06,30,2022,3,6,6,True
796,2022-03-07,62,2022,3,7,0,False
797,2022-03-08,74,2022,3,8,1,False
798,2022-03-09,66,2022,3,9,2,False
799,2022-03-10,38,2022,3,10,3,False
800,2022-03-11,28,2022,3,11,4,False
801,2022-03-12,32,2022,3,12,5,True
802,2022-03-13,37,2022,3,13,6,True
803,2022-03-14,66,2022,3,14,0,False
804,2022-03-15,56,2022,3,15,1,False
805,2022-03-16,78,2022,3,16,2,False
806,2022-03-17,44,2022,3,17,3,False
807,2022-03-18,41,2022,3,18,4,False
808,2022-03-19,45,2022,3,19,5,True
809,2022-03-20,40,2022,3,20,6,True
810,2022-03-21,83,2022,3,21,0,False
811,2022-03-22,60,2022,3,22,1,False
812,2022-03-23,59,2022,3,23,2,False
813,2022-03-24,73,2022,3,24,3,False
814,2022-03-25,56,2022,3,25,4,False
815,2022-03-26,34,2022,3,26,5,True
816,2022-03-27,31,2022,3,27,6,True
817,2022-03-28,66,2022,3,28,0,False
818,2022-03-29,66,2022,3,29,1,False
819,2022-03-30,71,2022,3,30,2,False
820,2022-03-31,53,2022,3,31,3,False
821,2022-04-01,48,2022,4,1,4,False
822,2022-04-02,40,2022,4,2,5,True
823,2022-04-03,51,2022,4,3,6,True
824,2022-04-04,86,2022,4,4,0,False
825,2022-04-05,56,2022,4,5,1,False
826,2022-04-06,53,2022,4,6,2,False
827,2022-04-07,48,2022,4,7,3,False
828,2022-04-08,55,2022,4,8,4,False
829,2022-04-09,37,2022,4,9,5,True
830,2022-04-10,32,2022,4,10,6,True
831,2022-04-11,61,2022,4,11,0,False
832,2022-04-12,46,2022,4,12,1,False
833,2022-04-13,37,2022,4,13,2,False
834,2022-04-14,38,2022,4,14,3,False
835,2022-04-15,30,2022,4,15,4,False
836,2022-04-16,33,2022,4,16,5,True
837,2022-04-17,52,2022,4,17,6,True
838,2022-04-18,56,2022,4,18,0,False
839,2022-04-19,66,2022,4,19,1,False
840,2022-04-20,59,2022,4,20,2,False
841,2022-04-21,51,2022,4,21,3,False
842,2022-04-22,48,2022,4,22,4,False
843,2022-04-23,42,2022,4,23,5,True
844,2022-04-24,36,2022,4,24,6,True
845,2022-04-25,65,2022,4,25,0,False
846,2022-04-26,63,2022,4,26,1,False
847,2022-04-27,64,2022,4,27,2,False
848,2022-04-28,46,2022,4,28,3,False
849,2022-04-29,29,2022,4,29,4,False
850,2022-04-30,21,2022,4,30,5,True
