Users,year,month,day,day of week,weekend,season,festivo
61,2022,4,11,0,0,1,0
46,2022,4,12,1,0,1,0
37,2022,4,13,2,0,1,0
38,2022,4,14,3,0,1,0
30,2022,4,15,4,0,1,1
33,2022,4,16,5,1,1,0
52,2022,4,17,6,1,1,0
56,2022,4,18,0,0,1,0
66,2022,4,19,1,0,1,0
59,2022,4,20,2,0,1,0
51,2022,4,21,3,0,1,0
48,2022,4,22,4,0,1,0
42,2022,4,23,5,1,1,0
36,2022,4,24,6,1,1,0
65,2022,4,25,0,0,1,0
63,2022,4,26,1,0,1,0
64,2022,4,27,2,0,1,0
46,2022,4,28,3,0,1,0
29,2022,4,29,4,0,1,0
21,2022,4,30,5,1,1,0
