Users,year,month,day,day of week,weekend,season,festivo
34,2020,7,9,3,0,4,0
66,2020,7,10,4,0,4,0
76,2020,7,11,5,1,4,0
60,2020,7,12,6,1,4,0
47,2020,7,14,1,0,4,0
53,2020,7,15,2,0,4,0
42,2020,7,16,3,0,4,0
43,2020,7,17,4,0,4,0
45,2020,7,18,5,1,4,0
22,2020,7,19,6,1,4,0
46,2020,7,20,0,0,4,0
70,2020,7,22,2,0,4,0
60,2020,7,23,3,0,4,0
45,2020,7,24,4,0,4,0
28,2020,7,25,5,1,4,0
61,2020,7,26,6,1,4,0
82,2020,7,27,0,0,4,0
77,2020,7,28,1,0,4,0
73,2020,7,29,2,0,4,0
47,2020,7,30,3,0,4,0
57,2020,7,31,4,0,4,0
38,2020,8,1,5,1,4,0
44,2020,8,2,6,1,4,0
88,2020,8,3,0,0,4,0
24,2020,8,4,1,0,4,0
30,2020,8,5,2,0,4,0
60,2020,8,6,3,0,4,0
42,2020,8,7,4,0,4,0
61,2020,8,8,5,1,4,0
40,2020,8,9,6,1,4,0
53,2020,8,10,0,0,4,0
50,2020,8,11,1,0,4,0
41,2020,8,12,2,0,4,0
68,2020,8,13,3,0,4,0
43,2020,8,14,4,0,4,0
24,2020,8,15,5,1,4,1
31,2020,8,16,6,1,4,0
42,2020,8,17,0,0,4,0
36,2020,8,18,1,0,4,0
36,2020,8,19,2,0,4,0
46,2020,8,20,3,0,4,0
40,2020,8,21,4,0,4,0
33,2020,8,22,5,1,4,0
28,2020,8,23,6,1,4,0
35,2020,8,24,0,0,4,0
48,2020,8,25,1,0,4,0
57,2020,8,26,2,0,4,0
69,2020,8,27,3,0,4,0
54,2020,8,28,4,0,4,0
43,2020,8,29,5,1,4,0
40,2020,8,30,6,1,4,0
66,2020,8,31,0,0,4,0
58,2020,9,1,1,0,4,0
48,2020,9,2,2,0,4,0
52,2020,9,3,3,0,4,0
26,2020,9,4,4,0,4,0
39,2020,9,5,5,1,4,0
45,2020,9,6,6,1,4,0
100,2020,9,7,0,0,4,0
89,2020,9,8,1,0,4,0
95,2020,9,9,2,0,4,0
87,2020,9,10,3,0,4,0
55,2020,9,11,4,0,4,0
32,2020,9,12,5,1,4,0
87,2020,9,13,6,1,4,0
86,2020,9,14,0,0,4,0
43,2020,9,17,3,0,4,0
60,2020,9,18,4,0,4,0
32,2020,9,19,5,1,4,0
13,2020,9,20,6,1,4,0
45,2020,9,21,0,0,4,0
28,2020,9,22,1,0,4,0
39,2020,9,23,2,0,2,0
54,2020,9,24,3,0,2,0
38,2020,9,25,4,0,2,0
20,2020,9,26,5,1,2,0
6,2020,9,27,6,1,2,0
48,2020,9,28,0,0,2,0
58,2020,9,29,1,0,2,0
62,2020,9,30,2,0,2,0
32,2020,10,1,3,0,2,0
15,2020,10,2,4,0,2,0
10,2020,10,3,5,1,2,0
33,2020,10,4,6,1,2,0
21,2020,10,5,0,0,2,0
48,2020,10,6,1,0,2,0
43,2020,10,7,2,0,2,0
16,2020,10,8,3,0,2,0
30,2020,10,9,4,0,2,0
22,2020,10,10,5,1,2,0
14,2020,10,11,6,1,2,0
16,2020,10,12,0,0,2,1
39,2020,10,13,1,0,2,0
27,2020,10,14,2,0,2,0
12,2020,10,15,3,0,2,0
16,2020,10,16,4,0,2,0
7,2020,10,17,5,1,2,0
10,2020,10,18,6,1,2,0
47,2020,10,19,0,0,2,0
31,2020,10,20,1,0,2,0
62,2020,10,21,2,0,2,0
72,2020,10,22,3,0,2,0
62,2020,10,23,4,0,2,0
36,2020,10,24,5,1,2,0
44,2020,10,25,6,1,2,0
58,2020,10,26,0,0,2,0
50,2020,10,27,1,0,2,0
64,2020,10,28,2,0,2,0
50,2020,10,29,3,0,2,0
30,2020,10,30,4,0,2,0
18,2020,10,31,5,1,2,0
41,2020,11,1,6,1,2,0
55,2020,11,2,0,0,2,1
55,2020,11,3,1,0,2,0
39,2020,11,4,2,0,2,0
38,2020,11,5,3,0,2,0
32,2020,11,6,4,0,2,0
37,2020,11,7,5,1,2,0
30,2020,11,8,6,1,2,0
55,2020,11,9,0,0,2,0
42,2020,11,10,1,0,2,0
52,2020,11,11,2,0,2,0
61,2020,11,12,3,0,2,0
35,2020,11,13,4,0,2,0
42,2020,11,14,5,1,2,0
35,2020,11,15,6,1,2,0
51,2020,11,16,0,0,2,0
2,2020,11,17,1,0,2,0
3,2020,11,18,2,0,2,0
3,2020,11,19,3,0,2,0
0,2020,11,20,4,0,2,0
0,2020,11,21,5,1,2,0
0,2020,11,22,6,1,2,0
2,2020,11,23,0,0,2,0
35,2020,11,24,1,0,2,0
38,2020,11,25,2,0,2,0
34,2020,11,26,3,0,2,0
23,2020,11,27,4,0,2,0
39,2020,11,28,5,1,2,0
47,2020,11,29,6,1,2,0
37,2020,11,30,0,0,2,0
27,2020,12,1,1,0,2,0
38,2020,12,2,2,0,2,0
43,2020,12,3,3,0,2,0
29,2020,12,4,4,0,2,0
47,2020,12,5,5,1,2,0
50,2020,12,6,6,1,2,0
37,2020,12,7,0,0,2,1
40,2020,12,8,1,0,2,1
30,2020,12,9,2,0,2,0
41,2020,12,10,3,0,2,0
51,2020,12,11,4,0,2,0
29,2020,12,12,5,1,2,0
46,2020,12,13,6,1,2,0
50,2020,12,14,0,0,2,0
40,2020,12,15,1,0,2,0
45,2020,12,16,2,0,2,0
44,2020,12,17,3,0,2,0
56,2020,12,18,4,0,2,0
31,2020,12,19,5,1,2,0
54,2020,12,20,6,1,2,0
43,2020,12,21,0,0,3,0
11,2020,12,22,1,0,3,0
14,2020,12,23,2,0,3,0
13,2020,12,24,3,0,3,0
6,2020,12,25,4,0,3,1
13,2020,12,26,5,1,3,0
19,2020,12,27,6,1,3,0
18,2020,12,28,0,0,3,0
19,2020,12,29,1,0,3,0
5,2020,12,30,2,0,3,0
5,2020,12,31,3,0,3,0
3,2021,1,1,4,0,3,1
13,2021,1,2,5,1,3,0
18,2021,1,3,6,1,3,0
16,2021,1,4,0,0,3,0
27,2021,1,5,1,0,3,0
8,2021,1,6,2,0,3,1
19,2021,1,7,3,0,3,0
19,2021,1,8,4,0,3,0
9,2021,1,9,5,1,3,0
28,2021,1,10,6,1,3,0
19,2021,1,11,0,0,3,0
27,2021,1,12,1,0,3,0
26,2021,1,13,2,0,3,0
27,2021,1,14,3,0,3,0
22,2021,1,15,4,0,3,0
17,2021,1,16,5,1,3,0
14,2021,1,17,6,1,3,0
9,2021,1,18,0,0,3,0
8,2021,1,19,1,0,3,0
14,2021,1,20,2,0,3,0
20,2021,1,21,3,0,3,0
7,2021,1,22,4,0,3,0
9,2021,1,23,5,1,3,0
10,2021,1,24,6,1,3,0
15,2021,1,25,0,0,3,0
21,2021,1,26,1,0,3,0
15,2021,1,27,2,0,3,0
13,2021,1,28,3,0,3,0
21,2021,1,29,4,0,3,0
5,2021,1,30,5,1,3,0
3,2021,1,31,6,1,3,0
26,2021,2,1,0,0,3,0
36,2021,2,2,1,0,3,0
39,2021,2,3,2,0,3,0
66,2021,2,4,3,0,3,0
29,2021,2,5,4,0,3,0
55,2021,2,6,5,1,3,0
38,2021,2,7,6,1,3,0
50,2021,2,8,0,0,3,0
44,2021,2,9,1,0,3,0
37,2021,2,10,2,0,3,0
53,2021,2,11,3,0,3,0
39,2021,2,12,4,0,3,0
17,2021,2,13,5,1,3,0
52,2021,2,14,6,1,3,0
38,2021,2,15,0,0,3,0
42,2021,2,16,1,0,3,0
43,2021,2,17,2,0,3,0
50,2021,2,18,3,0,3,0
31,2021,2,19,4,0,3,0
20,2021,2,20,5,1,3,0
34,2021,2,21,6,1,3,0
49,2021,2,22,0,0,3,0
32,2021,2,23,1,0,3,0
48,2021,2,24,2,0,3,0
25,2021,2,25,3,0,3,0
39,2021,2,26,4,0,3,0
14,2021,2,27,5,1,3,0
20,2021,2,28,6,1,3,0
48,2021,3,1,0,0,3,0
35,2021,3,2,1,0,3,0
48,2021,3,3,2,0,3,0
37,2021,3,4,3,0,3,0
35,2021,3,5,4,0,3,0
34,2021,3,6,5,1,3,0
47,2021,3,7,6,1,3,0
44,2021,3,8,0,0,3,0
40,2021,3,9,1,0,3,0
48,2021,3,10,2,0,3,0
43,2021,3,11,3,0,3,0
66,2021,3,12,4,0,3,0
55,2021,3,13,5,1,3,0
63,2021,3,14,6,1,3,0
94,2021,3,15,0,0,3,0
67,2021,3,18,3,0,3,0
49,2021,3,20,5,1,3,0
92,2021,3,26,4,0,1,0
57,2021,3,27,5,1,1,0
61,2021,3,28,6,1,1,0
56,2021,3,29,0,0,1,0
66,2021,3,30,1,0,1,0
29,2021,3,31,2,0,1,0
32,2021,4,1,3,0,1,0
28,2021,4,2,4,0,1,1
43,2021,4,3,5,1,1,0
44,2021,4,4,6,1,1,0
57,2021,4,5,0,0,1,0
86,2021,4,6,1,0,1,0
81,2021,4,7,2,0,1,0
98,2021,4,8,3,0,1,0
84,2021,4,9,4,0,1,0
57,2021,4,10,5,1,1,0
82,2021,4,11,6,1,1,0
61,2021,4,12,0,0,1,0
58,2021,4,13,1,0,1,0
45,2021,4,14,2,0,1,0
62,2021,4,15,3,0,1,0
58,2021,4,16,4,0,1,0
31,2021,4,17,5,1,1,0
44,2021,4,18,6,1,1,0
52,2021,4,19,0,0,1,0
69,2021,4,20,1,0,1,0
61,2021,4,21,2,0,1,0
53,2021,4,22,3,0,1,0
51,2021,4,23,4,0,1,0
40,2021,4,24,5,1,1,0
45,2021,4,25,6,1,1,0
55,2021,4,26,0,0,1,0
50,2021,4,27,1,0,1,0
55,2021,4,28,2,0,1,0
40,2021,4,29,3,0,1,0
33,2021,4,30,4,0,1,0
34,2021,5,1,5,1,1,1
34,2021,5,2,6,1,1,0
50,2021,5,3,0,0,1,0
58,2021,5,4,1,0,1,0
79,2021,5,5,2,0,1,0
69,2021,5,6,3,0,1,0
38,2021,5,7,4,0,1,0
23,2021,5,8,5,1,1,0
40,2021,5,9,6,1,1,0
75,2021,5,10,0,0,1,0
79,2021,5,11,1,0,1,0
85,2021,5,12,2,0,1,0
69,2021,5,13,3,0,1,0
54,2021,5,14,4,0,1,0
58,2021,5,15,5,1,1,0
36,2021,5,16,6,1,1,0
42,2021,5,17,0,0,1,0
62,2021,5,18,1,0,1,0
61,2021,5,19,2,0,1,0
51,2021,5,20,3,0,1,0
48,2021,5,21,4,0,1,0
42,2021,5,22,5,1,1,0
54,2021,5,23,6,1,1,0
85,2021,5,24,0,0,1,0
86,2021,5,25,1,0,1,0
60,2021,5,26,2,0,1,0
51,2021,5,27,3,0,1,0
50,2021,5,28,4,0,1,0
27,2021,5,29,5,1,1,0
25,2021,5,30,6,1,1,0
35,2021,5,31,0,0,1,0
48,2021,6,1,1,0,1,0
57,2021,6,2,2,0,1,0
27,2021,6,3,3,0,1,0
25,2021,6,4,4,0,1,0
19,2021,6,5,5,1,1,0
28,2021,6,6,6,1,1,0
35,2021,6,7,0,0,1,0
36,2021,6,8,1,0,1,0
25,2021,6,9,2,0,1,0
39,2021,6,10,3,0,1,0
22,2021,6,11,4,0,1,0
16,2021,6,12,5,1,1,0
19,2021,6,13,6,1,1,0
23,2021,6,14,0,0,1,0
22,2021,6,15,1,0,1,0
38,2021,6,16,2,0,1,0
25,2021,6,17,3,0,1,0
18,2021,6,18,4,0,1,0
21,2021,6,19,5,1,1,0
26,2021,6,20,6,1,1,0
22,2021,6,21,0,0,4,0
16,2021,6,22,1,0,4,0
25,2021,6,23,2,0,4,0
29,2021,6,24,3,0,4,0
29,2021,6,25,4,0,4,0
12,2021,6,26,5,1,4,0
10,2021,6,27,6,1,4,0
29,2021,6,28,0,0,4,0
22,2021,6,29,1,0,4,0
32,2021,6,30,2,0,4,0
27,2021,7,1,3,0,4,0
17,2021,7,2,4,0,4,0
25,2021,7,3,5,1,4,0
13,2021,7,4,6,1,4,0
36,2021,7,5,0,0,4,0
42,2021,7,6,1,0,4,0
39,2021,7,7,2,0,4,0
31,2021,7,8,3,0,4,0
21,2021,7,9,4,0,4,0
16,2021,7,10,5,1,4,0
21,2021,7,11,6,1,4,0
26,2021,7,12,0,0,4,0
33,2021,7,13,1,0,4,0
25,2021,7,14,2,0,4,0
30,2021,7,15,3,0,4,0
26,2021,7,16,4,0,4,0
24,2021,7,17,5,1,4,0
23,2021,7,18,6,1,4,0
24,2021,7,19,0,0,4,0
38,2021,7,20,1,0,4,0
38,2021,7,21,2,0,4,0
36,2021,7,22,3,0,4,0
36,2021,7,23,4,0,4,0
25,2021,7,24,5,1,4,0
27,2021,7,25,6,1,4,0
31,2021,7,26,0,0,4,0
41,2021,7,27,1,0,4,0
34,2021,7,28,2,0,4,0
41,2021,7,29,3,0,4,0
27,2021,7,30,4,0,4,0
22,2021,7,31,5,1,4,0
29,2021,8,1,6,1,4,0
44,2021,8,2,0,0,4,0
31,2021,8,3,1,0,4,0
47,2021,8,4,2,0,4,0
39,2021,8,5,3,0,4,0
